0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
329,1709,2503,1370,958,1537,1019,1116,618,1419,2587,1951,2034,1364,989,1009,4695,735,2285,6186,5082
400,1595,2390,1265,843,1496,904,998,693,1779,2292,2011,1996,1073,948,888,4579,694,2165,6145,5041
626,1413,2353,1228,667,1474,723,823,943,1752,2609,1951,1969,1035,924,1084,4291,747,2127,6121,5017
836,2457,2295,2049,1709,1821,1777,1866,751,1371,2174,2211,2196,955,1516,881,4552,1258,2076,6456,5353
731,1374,2390,1216,718,1435,684,783,1052,2009,2290,1914,1935,1074,887,1035,4257,1079,2166,6090,4986
1216,1938,2209,1635,1221,1949,1284,1379,1041,1546,2086,2382,2375,870,1398,828,4469,1139,1991,7173,6065
536,1400,2147,1155,682,1415,740,840,820,1550,2051,1929,1915,832,867,637,4430,614,1930,6071,4966
1365,2041,2133,1998,1329,2120,1392,1484,1078,1589,1709,2420,2418,372,1501,1000,4144,1243,1995,6516,5412
1621,2764,2386,2407,1832,2405,2120,2189,1351,1932,2171,2736,2764,1623,2111,1990,4985,1870,2127,7596,6490
1296,2127,2429,1708,1548,2203,1666,1705,1158,1799,1862,2616,2628,613,1717,1257,4221,1459,2212,6606,5511
1400,2080,3067,1391,1557,2306,1461,1746,1256,2342,2378,2709,2805,1183,1845,1604,3606,1566,2893,6370,5261
1416,2300,2145,1975,1631,2183,1660,1751,1144,1739,1963,2555,2567,1360,1919,1745,4840,1666,1908,7385,6281
1349,1912,2645,1179,1346,2182,1244,1537,1214,1991,1810,2797,2823,829,1630,1420,3707,1514,2431,6132,5027
2593,3232,3056,2468,2783,3613,2676,2961,2464,2929,2473,3748,3763,1789,3069,2391,3961,2608,2867,7338,6233
1480,2079,2496,1663,1720,2554,1617,1911,1347,1842,1698,2657,2672,704,2000,1263,3992,1712,2268,6398,5294
1038,1957,2286,1526,1135,1866,1204,1299,905,1779,2006,2595,2609,835,1307,688,4371,1054,2053,6457,5353
2011,2549,2786,2151,2196,3034,2100,2385,1845,2330,2176,3138,3167,1174,2482,1774,3869,1998,2587,6889,5783
2441,2974,3238,2578,2632,3458,2526,2810,2317,2838,1735,3657,3673,1697,2913,2300,4202,2409,2653,7447,6341
1327,1720,3210,1577,800,1398,1071,1154,1272,945,3071,1311,1426,1888,895,1719,5107,904,3014,5757,4648
984,1316,2686,1186,441,1103,656,751,1188,1080,2965,1446,1519,1370,625,1334,4224,551,2475,5721,4613
1047,1514,2840,1269,536,1276,758,656,1096,1384,3028,1757,1818,1529,635,1493,4307,895,2641,5992,4887
1313,1614,3194,1471,691,1156,963,1047,1258,996,3056,1382,1461,1874,831,1666,5106,945,2998,5773,4665
1105,1361,2780,1224,553,1218,700,899,1133,1331,3027,1692,1644,1459,665,1403,4256,611,2576,5843,4720
1209,1599,2911,1341,610,1173,835,731,1175,1390,3128,1752,1589,1597,488,1541,4381,742,2710,5792,4684
1439,1857,3332,1697,923,1235,1195,1271,1401,1041,3188,1402,1480,2010,1047,1838,5615,1032,3143,6239,5135
1002,1790,2920,1635,857,1015,1130,1206,968,1016,2782,1534,1616,1587,977,1374,4991,1043,2720,5642,4532
1079,1398,2793,1248,491,1106,728,837,1070,1448,3056,1807,1532,1472,701,1415,4279,615,2588,5736,4628
1661,2815,1946,2492,2664,2421,2171,2238,1411,1952,2118,2451,2788,1800,2338,2066,5138,2148,1982,7623,6517
2314,2909,1146,2587,2184,2881,2259,2329,2056,2518,1860,3107,3863,1872,2334,2261,5503,2081,1001,7716,6576
